id,first_name,last_name,Class Level,Course
1,Deborah,Simpson,Senior,COMP 182
1,Deborah,Simpson,Senior,CIT 101 Lab
2,Alan,Palmer,Junior,COMP 182 Lab
2,Alan,Palmer,Junior,COMP 182
3,James,Schmidt,Junior,CIT 101
3,James,Schmidt,Junior,COMP 182 Lab
4,Jesse,Gardner,Senior,CIT 101 Lab
4,Jesse,Gardner,Senior,CIT 101
5,Mary,Ross,Freshman,COMP 182
5,Mary,Ross,Freshman,CIT 101 Lab
6,Brandon,Greene,Sophomore,COMP 182 Lab
6,Brandon,Greene,Sophomore,COMP 182
7,Terry,Evans,Senior,CIT 101
7,Terry,Evans,Senior,COMP 182 Lab
8,Janice,Robertson,Junior,CIT 101 Lab
8,Janice,Robertson,Junior,CIT 101
9,Juan,Berry,Sophomore,COMP 182
9,Juan,Berry,Sophomore,CIT 101 Lab
10,Anthony,Bennett,Senior,COMP 182 Lab
10,Anthony,Bennett,Senior,COMP 182
11,Martha,Gray,Junior,CIT 101
11,Martha,Gray,Junior,COMP 182 Lab
12,Jonathan,Ramirez,Junior,CIT 101 Lab
12,Jonathan,Ramirez,Junior,CIT 101
13,Rebecca,Long,Senior,COMP 182
13,Rebecca,Long,Senior,CIT 101 Lab
14,Ryan,Cook,Freshman,COMP 182 Lab
14,Ryan,Cook,Freshman,COMP 182
15,Stephanie,Wilson,Sophomore,CIT 101
15,Stephanie,Wilson,Sophomore,COMP 182 Lab
16,Virginia,Gibson,Senior,CIT 101 Lab
16,Virginia,Gibson,Senior,CIT 101
17,Russell,Mccoy,Junior,COMP 182
17,Russell,Mccoy,Junior,CIT 101 Lab
18,Doris,Harper,Sophomore,COMP 182 Lab
18,Doris,Harper,Sophomore,COMP 182
19,Tina,Rose,Senior,CIT 101
19,Tina,Rose,Senior,COMP 182 Lab
20,Clarence,Morrison,Junior,CIT 101 Lab
20,Clarence,Morrison,Junior,CIT 101
21,Gerald,Gonzales,Junior,COMP 182
21,Gerald,Gonzales,Junior,CIT 101 Lab
22,Heather,Allen,Senior,COMP 182 Lab
22,Heather,Allen,Senior,COMP 182
23,Raymond,Torres,Freshman,CIT 101
23,Raymond,Torres,Freshman,COMP 182 Lab
24,Brenda,Rodriguez,Sophomore,CIT 101 Lab
24,Brenda,Rodriguez,Sophomore,CIT 101
25,Gerald,Fox,Senior,COMP 182
25,Gerald,Fox,Senior,CIT 101 Lab
26,Sarah,Watson,Junior,COMP 182 Lab
26,Sarah,Watson,Junior,COMP 182
